actor,nation,tweet_docs,motive
el_fagr,egypt,["D:\APC CSVs\twitter\egypt_022020_tweets_csv_hashed.csv"],political
gov_honduras,honduras,["E:\APC CSVs\twitter-2\honduras_022020_tweets_csv_hashed.csv"],political
insight_id,indonesia,["E:\APC CSVs\twitter-2\indonesia_022020_tweets_csv_hashed.csv"],political
gov_saudi_arabia,saudi_arabia,"[""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_01.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_02.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_03.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_04.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_05.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_06.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_07.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_08.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_09.csv"", ""D:\APC CSVs\twitter\sa_eg_ae_022020_tweets_csv_hashed\sa_eg_ae_022020_tweets_csv_hashed_10.csv"", ""E:\APC CSVs\twitter\saudi_arabia_082019_tweets_csv_hashed.csv""]",political
gov_serbia,serbia,"[""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_01.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_02.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_03.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_04.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_05.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_06.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_07.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_08.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_09.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_10.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_11.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_12.csv"", ""E:\APC CSVs\twitter\serbia_022020_tweets_csv_hashed\serbia_022020_tweets_csv_hashed_13.csv""]",political
ira,russia,"[""E:\APC CSVs\twitter-2\032020_tweets_csv_hashed.csv"", ""E:\APC CSVs\twitter\russia_201906_1_tweets_csv_hashed.csv"", ""E:\APC CSVs\twitter\russian_linked_tweets_csv_hashed.csv"", ""E:\APC CSVs\twitter-2\ira_tweets_csv_hashed.csv"", ""E:\APC CSVs\twitter\iranian_tweets_csv_hashed.csv""]",political
smaat,saudi_arabia,"[""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_1.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_2.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_3.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_4.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_5.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_6.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_7.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_8.csv"", ""E:\APC CSVs\twitter\saudi_arabia_112019_tweets_csv_hashed\saudi_arabia_112019_tweets_csv_hashed_9.csv""]",political
dotdev,uae/egypt,["E:\APC CSVs\twitter-2\egypt_uae_082019_tweets_csv_hashed.csv"],political
partido_popular,spain,["E:\APC CSVs\twitter\spain_082019_tweets_csv_hashed.csv"],political
pais_alliance,ecuador,["E:\APC CSVs\twitter-2\ecuador_082019_tweets_csv_hashed.csv"],political
prc,china,"[""D:\APC CSVs\twitter\china_082019_1_tweets_csv_hashed.csv"", ""D:\APC CSVs\twitter\china_082019_2_tweets_csv_hashed.csv""]",ideological
prc,china,"[""D:\APC CSVs\twitter\china_082019_3_tweets_csv_hashed_part1.csv"", ""D:\APC CSVs\twitter\china_082019_3_tweets_csv_hashed_part2.csv"", ""D:\APC CSVs\twitter\china_082019_3_tweets_csv_hashed_part3.csv""]",political
gov_iran,iran,"[""D:\APC CSVs\twitter\iran_201906_1_tweets_csv_hashed.csv"", ""D:\APC CSVs\twitter\iran_201906_2_tweets_csv_hashed.csv"", ""D:\APC CSVs\twitter\iran_201901_1_tweets_csv_hashed_1.csv"", ""D:\APC CSVs\twitter\iran_201901_1_tweets_csv_hashed_2.csv"", ""D:\APC CSVs\twitter\iran_201901_1_tweets_csv_hashed_3.csv"", ""D:\APC CSVs\twitter\iran_201901_1_tweets_csv_hashed_4.csv""]",political
gov_iran,iran,["D:\APC CSVs\twitter\iran_201906_3_tweets_csv_hashed.csv"],ideological
esquerra_republicana_de_catalunya,spain,["E:\APC CSVs\twitter-2\catalonia_201906_1_tweets_csv_hashed.csv"],political
gov_venezuela,venezuela,"[""E:\APC CSVs\twitter\venezuela_201901_1_tweets_csv_hashed_1.csv"", ""E:\APC CSVs\twitter\venezuela_201901_1_tweets_csv_hashed_2.csv"", ""E:\APC CSVs\twitter\venezuela_201901_1_tweets_csv_hashed_3.csv"", ""E:\APC CSVs\twitter\venezuela_201906_1_tweets_csv_hashed.csv""]",political
gov_bangladesh,bangladesh,["E:\APC CSVs\twitter-2\bangladesh_linked_tweets_csv_hashed.csv"],political
